time (s),concentration (mg/L)
0,0
4,-0.003133333
8,-0.006266667
12,-0.0094
16,-0.012533333
20,-0.015666667
24,0.4042
28,3.785066667
32,13.36993333
33,17.45815
34,21.40536667
35,26.48058333
36,31.4148
37,37.61801667
38,43.53923333
39,50.16545
40,55.94566667
41,62.71288333
42,68.2111
43,74.13231667
44,79.06653333
45,82.59075
46,85.69196667
47,87.80618333
48,88.9334
49,89.07361667
50,88.08583333
51,86.67505
52,84.55926667
53,82.16148333
54,78.4947
55,74.40491667
56,70.73813333
57,66.64835
58,63.26356667
59,59.31478333
60,56.071
61,52.40421667
62,49.58343333
63,46.48065
64,43.94186667
65,41.26208333
66,38.7233
67,36.60751667
68,34.35073333
69,32.51695
70,30.54216667
71,28.70838333
72,26.8746
73,25.46381667
74,24.05303333
75,22.78325
76,21.23146667
77,19.67968333
78,18.4099
79,17.14011667
80,16.29333333
81,15.16455
82,14.17676667
83,13.04798333
84,12.2012
88,9.237066667
92,7.118933333
96,5.7058
100,4.574666667
104,3.725533333
108,3.0174
112,2.450266667
116,1.883133333
120,1.598
124,1.312866667
128,1.168733333
132,0.8836
136,0.739466667
140,0.595333333
144,0.4512
148,0.448066667
152,0.303933333
156,0.3008
160,0.297666667
164,0.153533333
168,0.1504
172,0.147266667
176,0.144133333
180,0
